"dscode"	"dcode"	"scode"	"scodeyear"	"year"	"pt"	"fhcl"	"fhpr"	"bdbest"	"poltot"	"polacc"	"polpro"	"polwel"	"unp"	"lnapps"	"lnsttot"	"lngdpsource"	"lngdpdest"	"lndist"
"1"	101	1	1	199701	1997	5	7	7	3714	0	0	0	0	8.5	4.12713432312012	8.80177021026611	6.26828145980835	10.0910453796387	2.42551040649414
"2"	101	1	1	199801	1998	5	7	7	4538	0	0	0	0	7.69999980926514	4.44265127182007	8.80177021026611	6.19619989395142	10.1464729309082	2.42551040649414
"3"	101	1	1	199901	1999	5	7	7	4302	0	0	0	0	6.90000009536743	6.41345882415771	8.80177021026611	6.11862564086914	10.1967544555664	2.42551040649414
"4"	101	1	1	200001	2000	5	7	7	3452	2	0	1	1	6.30000019073486	7.25629711151123	8.80177021026611	6.05830526351929	10.2396383285522	2.42551040649414
"5"	101	1	1	200101	2001	5	7	7	2877	3.25	0.5	1.5	1.25	6.80000019073486	7.83399629592896	8.80177021026611	6.0075101852417	10.2815132141113	2.42551040649414
"6"	101	1	1	200201	2002	4.5	6	6	0	7	2	3	2	6.40000009536743	5.07517385482788	8.80177021026611	6.4217848777771	10.3193979263306	2.42551040649414
"7"	101	1	1	200301	2003	4	6	6	353	7	2	3	2	5.90000009536743	6.05208921432495	8.80177021026611	6.55772972106934	10.3666868209839	2.42551040649414
"8"	101	1	1	200401	2004	4.5	6	5	621	7	2	3	2	5.40000009536743	6.54102993011475	8.80177021026611	6.5463547706604	10.4123811721802	2.42551040649414
"9"	101	1	1	200501	2005	5	5	5	1268	7	2	3	2	5	5.24702405929565	8.80177021026611	6.65380430221558	10.4598979949951	2.42551040649414
"10"	101	1	1	200601	2006	5	5	5	3159	7	2	3	2	4.80000019073486	3.58351898193359	8.80177021026611	6.68392419815063	10.5158042907715	2.42551040649414
"11"	101	1	1	200701	2007	5	5	5	5828	7	2	3	2	4.40000009536743	3.29583692550659	8.80177021026611	6.79590702056885	10.5647058486938	2.42551040649414
"12"	101	1	1	200801	2008	5	6	5	4561	5.25	2	2	1.25	4.19999980926514	3.98898410797119	8.80177021026611	6.79538154602051	10.572060585022	2.42551040649414
"13"	101	1	1	200901	2009	5	6	6	5231	4	2	1	1	5.59999990463257	6.8480052947998	8.80177021026611	6.92510414123535	10.6087608337402	2.42551040649414
"14"	101	1	1	201001	2010	4.5	6	6	6377	4	2	1	1	5.19999980926514	7.15461540222168	8.80177021026611	6.95521116256714	10.6349658966064	2.42551040649414
"15"	101	1	1	201101	2011	5	6	6	7228	4	2	1	1	5.09999990463257	7.45991468429565	8.80177021026611	6.98498964309692	10.6651105880737	2.42551040649414
"16"	101	1	1	201201	2012	4	6	6	7442	4	2	1	1	5.19999980926514	8.03786659240723	8.80177021026611	7.07297420501709	10.6988306045532	2.42551040649414
"17"	102	1	2	199702	1997	4	4	4	0	0	0	0	0	8.5	4.04305124282837	7.06561326980591	8.02879047393799	10.0910453796387	2.74605226516724
"18"	102	1	2	199802	1998	2.5	5	4	0	0	0	0	0	7.69999980926514	3.36729574203491	7.06561326980591	7.99134540557861	10.1464729309082	2.74605226516724
"19"	102	1	2	199902	1999	3	5	4	0	0	0	0	0	6.90000009536743	3.49650764465332	7.06561326980591	8.09950828552246	10.1967544555664	2.74605226516724
"20"	102	1	2	200002	2000	2.5	5	4	0	2	0	1	1	6.30000019073486	4.43081665039062	7.06561326980591	8.13559913635254	10.2396383285522	2.74605226516724
"21"	102	1	2	200102	2001	2.5	4	3	0	3.25	0.5	1.5	1.25	6.80000019073486	4.14313459396362	7.06561326980591	8.16800975799561	10.2815132141113	2.74605226516724
"22"	102	1	2	200202	2002	3	3	3	0	7	2	3	2	6.40000009536743	4.07753753662109	7.06561326980591	8.19633483886719	10.3193979263306	2.74605226516724
"23"	102	1	2	200302	2003	2	3	3	0	7	2	3	2	5.90000009536743	4.02535152435303	7.06561326980591	8.3099889755249	10.3666868209839	2.74605226516724
"24"	102	1	2	200402	2004	2.5	3	3	0	7	2	3	2	5.40000009536743	3.49650764465332	7.06561326980591	8.42504978179932	10.4123811721802	2.74605226516724
"25"	102	1	2	200502	2005	2.5	3	3	0	7	2	3	2	5	2.7725887298584	7.06561326980591	8.50487995147705	10.4598979949951	2.74605226516724
"26"	102	1	2	200602	2006	2.5	3	3	0	7	2	3	2	4.80000019073486	3.58351898193359	7.06561326980591	8.59377861022949	10.5158042907715	2.74605226516724
"27"	102	1	2	200702	2007	2.5	3	3	0	7	2	3	2	4.40000009536743	2.83321332931519	7.06561326980591	8.68313598632812	10.5647058486938	2.74605226516724
"28"	102	1	2	200802	2008	2	3	3	0	5.25	2	2	1.25	4.19999980926514	3.04452252388	7.06561326980591	8.79602432250977	10.572060585022	2.74605226516724
"29"	102	1	2	200902	2009	2	3	3	0	4	2	1	1	5.59999990463257	3.40119743347168	7.06561326980591	8.82321357727051	10.6087608337402	2.74605226516724
"30"	102	1	2	201002	2010	2	3	3	0	4	2	1	1	5.19999980926514	3.52636051177979	7.06561326980591	8.79741668701172	10.6349658966064	2.74605226516724
"31"	102	1	2	201102	2011	2	3	3	0	4	2	1	1	5.09999990463257	3.52636051177979	7.06561326980591	8.82004451751709	10.6651105880737	2.74605226516724
"32"	102	1	2	201202	2012	2	3	3	0	4	2	1	1	5.19999980926514	3.68887948989868	7.06561326980591	8.83093070983887	10.6988306045532	2.74605226516724
"33"	103	1	3	199703	1997	5	6	6	1324	0	0	0	0	8.5	4.65396022796631	6.79794025421143	8.45398330688477	10.0910453796387	2.83068060874939
"34"	103	1	3	199803	1998	5	5	6	3024	0	0	0	0	7.69999980926514	4.57471084594727	6.79794025421143	8.49404716491699	10.1464729309082	2.83068060874939
"35"	103	1	3	199903	1999	5	5	6	1016	0	0	0	0	6.90000009536743	4.27666616439819	6.79794025421143	8.50952816009521	10.1967544555664	2.83068060874939
"36"	103	1	3	200003	2000	4.5	5	6	931	2	0	1	1	6.30000019073486	4.14313459396362	6.79794025421143	8.51471996307373	10.2396383285522	2.83068060874939
"37"	103	1	3	200103	2001	4.5	5	6	642	3.25	0.5	1.5	1.25	6.80000019073486	3.63758611679077	6.79794025421143	8.53014850616455	10.2815132141113	2.83068060874939
"38"	103	1	3	200203	2002	4	5	6	538	7	2	3	2	6.40000009536743	1.60943794250488	6.79794025421143	8.56665134429932	10.3193979263306	2.83068060874939
"39"	103	1	3	200303	2003	4.5	5	6	670	7	2	3	2	5.90000009536743	2.0794415473938	6.79794025421143	8.62214374542236	10.3666868209839	2.83068060874939
"40"	103	1	3	200403	2004	4	5	6	449	7	2	3	2	5.40000009536743	NA	6.79794025421143	8.65910625457764	10.4123811721802	2.83068060874939
"41"	103	1	3	200503	2005	4	5	6	253	7	2	3	2	5	2.56494927406311	6.79794025421143	8.6976432800293	10.4598979949951	2.83068060874939
"42"	103	1	3	200603	2006	4	5	6	255	7	2	3	2	4.80000019073486	2.0794415473938	6.79794025421143	8.70008277893066	10.5158042907715	2.83068060874939
"43"	103	1	3	200703	2007	3.5	5	6	468	7	2	3	2	4.40000009536743	1.94591009616852	6.79794025421143	8.7178897857666	10.5647058486938	2.83068060874939
"44"	103	1	3	200803	2008	3	5	6	339	5.25	2	2	1.25	4.19999980926514	1.3862943649292	6.79794025421143	8.72913455963135	10.572060585022	2.83068060874939
"45"	103	1	3	200903	2009	2.5	5	6	586	4	2	1	1	5.59999990463257	2.19722461700439	6.79794025421143	8.7292594909668	10.6087608337402	2.83068060874939
"46"	103	1	3	201003	2010	3	5	6	240	4	2	1	1	5.19999980926514	NA	6.79794025421143	8.74246883392334	10.6349658966064	2.83068060874939
